Código da Venda,Código da Mercadoria,Quantidade,Preço,Desconto,Produto,TipoGrupo,PIS_Valor,COFINS_Valor,NFCe_vICMSDeson,Data da Venda,Nome do Cliente,Vendedor,ValorEntrada,FormaEntrada,Parcelado,LojaOrigem
3530,3,"35,08","97,5","0,00574712643678161",BRITA 19MM,MINÉRIOS DE GRANITO,"2,21","10,2",0,2023-07-13 00:00:00.000,267,11,0,,0,BURITI
3539,12,1,30,"0,00574712643678161",TAXA CARTÃO,MINÉRIOS DE GRANITO,"0,195","0,9",0,2023-07-13 00:00:00.000,267,11,0,,0,BURITI
3,11,1,40,0,GNRE,MINÉRIOS DE GRANITO,"0,26","1,2",0,2023-03-01 00:00:00.000,2,10,0,,0,BURITI
3,10,1,500,0,FRETE,MINÉRIOS DE GRANITO,"3,25",15,0,2023-03-01 00:00:00.000,2,10,0,,0,BURITI
3,4,"6,71",100,0,"BRITA 12,5MM",MINÉRIOS DE GRANITO,"4,3615","20,13",0,2023-03-01 00:00:00.000,2,10,0,,0,BURITI
4,9,51,110,"8,9126559714795E-06",BRITA CORRIDA,MINÉRIOS DE GRANITO,"36,465","168,3",0,2023-03-06 00:00:00.000,1,11,0,,0,BURITI
4,10,1,0,"8,9126559714795E-06",FRETE,MINÉRIOS DE GRANITO,0,0,0,2023-03-06 00:00:00.000,1,11,0,,0,BURITI
4,11,1,0,"8,9126559714795E-06",GNRE,MINÉRIOS DE GRANITO,0,0,0,2023-03-06 00:00:00.000,1,11,0,,0,BURITI
6,3,5,135,0,BRITA 19MM,MINÉRIOS DE GRANITO,"4,3875","20,25",0,2023-03-09 00:00:00.000,687,11,0,,0,BURITI
8,4,1,100,0,"BRITA 12,5MM",MINÉRIOS DE GRANITO,"0,65",3,0,2023-03-09 00:00:00.000,1407,13,0,,0,BURITI
8,1,10,34,0,PÓ DE BRITA,MINÉRIOS DE GRANITO,"2,21","10,2",0,2023-03-09 00:00:00.000,1407,13,0,,0,BURITI
9,3,1,"193,75",0,BRITA 19MM,MINÉRIOS DE GRANITO,"1,259375","5,8125",0,2023-03-09 00:00:00.000,101,10,0,,0,BURITI
10,3,"11,52","93,75","0,040650406504065",BRITA 19MM,MINÉRIOS DE GRANITO,"7,02","32,4",0,2023-03-09 00:00:00.000,1241,11,0,,0,BURITI
10,11,1,50,"0,040650406504065",GNRE,MINÉRIOS DE GRANITO,"0,325","1,5",0,2023-03-09 00:00:00.000,1241,11,0,,0,BURITI
10,10,1,100,"0,040650406504065",FRETE,MINÉRIOS DE GRANITO,"0,65",3,0,2023-03-09 00:00:00.000,1241,11,0,,0,BURITI
11,4,"16,082","99,1792065",0,"BRITA 12,5MM",MINÉRIOS DE GRANITO,"10,3674999930645","47,84999996799",0,2023-03-09 00:00:00.000,1407,11,0,,0,BURITI
12,4,"23,392","99,1792065",0,"BRITA 12,5MM",MINÉRIOS DE GRANITO,"15,079999989912","69,59999995344",0,2023-03-09 00:00:00.000,712,11,0,,0,BURITI
13,4,1,"99,1792065",0,"BRITA 12,5MM",MINÉRIOS DE GRANITO,"0,64466484225","2,975376195",0,2023-03-09 00:00:00.000,1,3,0,,0,BURITI
14,4,1,"99,1792065",0,"BRITA 12,5MM",MINÉRIOS DE GRANITO,"0,64466484225","2,975376195",0,2023-03-09 00:00:00.000,1,3,0,,0,BURITI
15,3,"11,52","93,75","0,05",BRITA 19MM,MINÉRIOS DE GRANITO,"7,02","32,4",0,2023-03-09 00:00:00.000,1241,3,0,,0,BURITI
16,4,"13,158","99,1792065","0,0498084291520941","BRITA 12,5MM",MINÉRIOS DE GRANITO,"8,4824999943255","39,14999997381",0,2023-03-09 00:00:00.000,71,11,0,,0,BURITI
17,3,"7,2","93,75","0,0296296296296296",BRITA 19MM,MINÉRIOS DE GRANITO,"4,3875","20,25",0,2023-03-09 00:00:00.000,334,11,0,,0,BURITI
